NotProgramming/DPZ	runnable	builds the report with latexmk
NotProgramming/ECOGR	runnable	builds the report with latexmk
NotProgramming/EDABA	runnable	builds the report with latexmk
NotProgramming/EDABA-LAB	runnable	builds the report with latexmk
NotProgramming/EDISE	runnable	builds the report with latexmk
NotProgramming/EDISP	no-code	submitted lab reports as PDFs only; no source was produced
NotProgramming/ELAC	runnable	builds the report with latexmk
NotProgramming/EMISY	runnable	builds the report with latexmk
NotProgramming/ENUME	blocked	needs MATLAB or Octave (none of: matlab octave)
NotProgramming/EPHY2	no-code	submitted lab reports as PDFs only; no source was produced
NotProgramming/EPOGAI	no-code	a presentation only; no source was produced
NotProgramming/ERPM	runnable	builds the report with latexmk
NotProgramming/ESDP1	runnable	builds the report with latexmk
NotProgramming/ESOEN	runnable	builds the report with latexmk
NotProgramming/MOM	runnable	builds the report with latexmk
NotProgramming/SDM	runnable	builds the report with latexmk
NotProgramming/SDM2	runnable	builds the report with latexmk
NotProgramming/SPD	runnable	builds the report with latexmk
NotProgramming/STUP	runnable	npm install && npm start
Programming/AIS	runnable	builds the report with latexmk
Programming/BD2	runnable	npm install && npm start
Programming/BSS	runnable	builds the report with latexmk
Programming/EADS	runnable	compiles each standalone .cpp
Programming/EARIN	runnable	python3 the entry script
Programming/ECOAR	runnable	make
Programming/ECOTE	runnable	python3 /home/kuhy/WUT_Computer_Science/Programming/ECOTE/program/translator/main.py
Programming/ECRYPT	no-code	test1.py is a 0-byte stub; this course produced no submitted code
Programming/ECRYPT_PROJECT	runnable	python3 the entry script
Programming/EGUI	runnable	dotnet build
Programming/EOOP	runnable	compiles each standalone .cpp
Programming/EOPSY	runnable	make
Programming/EPFU	runnable	make
Programming/E-PSYOPS	runnable	opens in the Unity editor
Programming/ERSMS-project	runnable	docker compose up
Programming/NLP	runnable	python3 the entry script
Programming/PBAD	blocked	jupyter is on PATH but does not run (dead shim)
Programming/PORR	runnable	python3 /home/kuhy/WUT_Computer_Science/Programming/PORR/code/main.py
Programming/PSD	runnable	starts the Kafka/Flink stack (installs packages with sudo)
Programming/psd_project	runnable	mvn package
Programming/TRAK	runnable	python3 /home/kuhy/WUT_Computer_Science/Programming/TRAK/main.py
Programming/twm_4	blocked	jupyter is on PATH but does not run (dead shim)
Programming/USD	no-code	README describes a MetaDrive RL assignment; no implementation was submitted
Programming/WDWR	runnable	python3 the entry script
Programming/ZPOB	runnable	builds the report with latexmk
